name,comb
TORSION3,Q=2
TORSION3,Q=5
TORSION3,Q=11
TORSION3,Q=16
TORSION3,Q=37
TORSION3,Q=50
TORSION3,Q=61
TORSION3,C=10.0
TAX13322,NA=1
TAX13322,NB=3
TAX13322,NC=3
TAX13322,ND=2
TAX13322,NE=2
TORSIONE,Q=2
TORSIONE,Q=5
TORSIONE,Q=11
TORSIONE,Q=16
TORSIONE,Q=37
TORSIONE,Q=50
TORSIONE,Q=61
TORSIONE,C=20.0
JUNKTURN,N=50
JUNKTURN,N=100
JUNKTURN,N=500
JUNKTURN,N=1000
JUNKTURN,N=10000
JUNKTURN,N=20000
JUNKTURN,N=100000
ROSEPETAL,N=2
ROSEPETAL,N=10
ROSEPETAL,N=100
ROSEPETAL,N=1000
ROSEPETAL,N=10000
ROSEPETAL,N=100000
ROSEPETAL,R=1.0
ROSEPETAL,R=2.0
NCVXQP2,N=10
NCVXQP2,N=50
NCVXQP2,N=100
NCVXQP2,N=1000
NCVXQP2,N=10000
NCVXQP2,N=100000
LUKVLE5,N=100
LUKVLE5,N=1000
LUKVLE5,N=10000
LUKVLE5,N=100000
BOXPOWER,N=10
BOXPOWER,N=100
BOXPOWER,N=1000
BOXPOWER,N=10000
BOXPOWER,N=20000
BOXPOWER,N=10
LUKVLI6,N=99
LUKVLI6,N=999
LUKVLI6,N=9999
LUKVLI6,N=99999
ORTHRGDS,NPTS=10
ORTHRGDS,NPTS=50
ORTHRGDS,NPTS=76
ORTHRGDS,NPTS=100
ORTHRGDS,NPTS=250
ORTHRGDS,NPTS=500
ORTHRGDS,NPTS=2500
ORTHRGDS,NPTS=5000
TRIDIA,N=10
TRIDIA,N=20
TRIDIA,N=30
TRIDIA,N=50
TRIDIA,N=100
TRIDIA,N=500
TRIDIA,N=1000
TRIDIA,N=5000
TRIDIA,N=10000
TRIDIA,ALPHA=2.0
TRIDIA,BETA=1.0
TRIDIA,GAMMA=1.0
TRIDIA,DELTA=1.0
NONCVXU2,N=10
NONCVXU2,N=100
NONCVXU2,N=1000
NONCVXU2,N=5000
NONCVXU2,N=10000
NONCVXU2,N=100000
SINEALI,N=4
SINEALI,N=10
SINEALI,N=20
SINEALI,N=100
SINEALI,N=1000
DIXON3DQ,N=10
DIXON3DQ,N=100
DIXON3DQ,N=1000
DIXON3DQ,N=10000
MANNE,T=100
MANNE,T=365
MANNE,T=1000
MANNE,T=2000
ALLINQP,N=10
ALLINQP,N=100
ALLINQP,N=10000
ALLINQP,N=50000
ALLINQP,N=100000
ALLINQP,N=200000
ALLINQP,N=400000
ALLINQP,N=500000
MODBEALE,N/2=1
MODBEALE,N/2=2
MODBEALE,N/2=5
MODBEALE,N/2=100
